Brand_name,TOn,Condenser_Coil,Power_Consumption,RefrigeranT,Noise_level,STAR,Ratings,Price,Image_url
Haier,1,copper_condenser_coil,704,R-32,26,0.0,0,27294,https://rukminim1.flixcart.com/image/312/312/l1ch4sw0/air-conditioner-new/0/j/f/-original-imagcxh3d6ezzqhp.jpeg?q=70
Daikin,1.5,aluminum_alloy_condenser_coil,1304,R-32,42,4.2,0,38999,https://rukminim1.flixcart.com/image/312/312/l2krs7k0/air-conditioner-new/v/x/g/-original-imagdwym4y6wb4vu.jpeg?q=70
Croma,1.5,copper_condenser_coil,1570,R-32,49,3.8,75,28490,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/air-conditioner-new/y/e/h/-original-imagd7qhxffd2ksw.jpeg?q=70
Panasonic,1,copper_condenser_coil,1095,R-32,45,4.3,10156,32999,https://rukminim1.flixcart.com/image/312/312/l0sgyvk0/air-conditioner-new/4/8/i/-original-imagchbyyxgnsztk.jpeg?q=70
MarQ,By,copper_condenser_coil,712.59,R-32,40,4.0,642,27490,https://rukminim1.flixcart.com/image/312/312/kzfvzww0/air-conditioner-new/j/p/s/-original-imagbgbzyx7vkpvj.jpeg?q=70
Panasonic,1.5,copper_condenser_coil,840.75,R-32,46,4.3,10156,42990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
Panasonic,1.5,copper_condenser_coil,1056.45,R-32,48,4.2,1125,35990,https://rukminim1.flixcart.com/image/312/312/kltryq80/air-conditioner-new/l/l/y/cs-ru18xkytw-cu-ru18xkytw-split-panasonic-inverter-original-imagyugnrnv2djmk.jpeg?q=70
SAMSUNG,1,copper_condenser_coil,920,R-32,42,4.3,227,30990,https://rukminim1.flixcart.com/image/312/312/ky1vl3k0/air-conditioner-new/t/h/q/-original-imagad5yffnyfyvh.jpeg?q=70
Panasonic,1,copper_condenser_coil,990,R-32,45,4.3,10156,36490,https://rukminim1.flixcart.com/image/312/312/l0sgyvk0/air-conditioner-new/4/8/i/-original-imagchbyyxgnsztk.jpeg?q=70
LG,1.5,copper_condenser_coil,1106.26,R-32,44,4.0,0,36499,https://rukminim1.flixcart.com/image/312/312/l1fc0i80/air-conditioner-new/z/j/m/-original-imagczgshsskqzqy.jpeg?q=70
