dt,CLICKS,ORIGIN_IP,DEST_IP,Fraud
01/27/2023,4617,1,513,0
01/27/2023,1571,2,514,0
01/26/2023,265,1,513,0
01/26/2023,294,2,514,0
01/25/2023,1073,1,513,0
01/25/2023,1126,2,514,0
01/24/2023,1188,1,513,0
01/24/2023,804,2,514,0
01/23/2023,2043,1,513,0
01/23/2023,1783,2,514,0
01/22/2023,2075,1,513,0
01/22/2023,2668,2,514,0
01/21/2023,17,1,513,0
01/21/2023,222,2,514,0
01/20/2023,486,1,513,0
01/20/2023,1069,2,514,0
01/19/2023,1689,1,513,0
01/19/2023,1819,2,514,0
01/18/2023,3964,1,513,0
01/18/2023,2974,2,514,0
01/17/2023,1006,1,513,0
01/17/2023,1123,2,514,0
01/16/2023,2292,1,513,0
01/16/2023,1596,2,514,0
01/15/2023,1916,1,513,0
01/15/2023,3180,2,514,0
01/14/2023,4455,1,513,0
01/14/2023,3033,2,514,0
01/13/2023,2162,1,513,0
01/13/2023,467,2,514,0
01/12/2023,130,1,513,0
01/12/2023,3889,2,514,0
01/11/2023,1807,1,513,0
01/11/2023,49,2,514,0
01/10/2023,1838,1,513,0
01/10/2023,1967,2,514,0
01/09/2023,1162,1,513,0
01/09/2023,101,2,514,0
01/08/2023,2045,1,513,0
01/08/2023,1664,2,514,0
01/07/2023,2838,1,513,0
01/07/2023,1735,2,514,0
01/06/2023,2005,1,513,0
01/06/2023,237,2,514,0
01/05/2023,909,1,513,0
01/05/2023,1075,2,514,0
01/04/2023,853,1,513,0
01/04/2023,837,2,514,0
01/03/2023,1250,1,513,0
01/03/2023,313,2,514,0
01/02/2023,706,1,513,0
01/02/2023,223,2,514,0
01/01/2023,1654,1,513,0
01/01/2023,1997,2,514,0
12/31/2022,1497,1,513,0
12/31/2022,369,2,514,0
12/30/2022,58300,1,513,1
12/30/2022,449,2,514,0
12/29/2022,2086,1,513,0
12/29/2022,2240,2,514,0
12/28/2022,1318,1,513,0
12/28/2022,1084,2,514,0
12/27/2022,1469,1,513,0
12/27/2022,485,2,514,0
12/26/2022,273,1,513,0
12/26/2022,1493,2,514,0
12/25/2022,2289,1,513,0
12/25/2022,1642,2,514,0
12/24/2022,4450,1,513,0
12/24/2022,2899,2,514,0
12/23/2022,3958,1,513,0
12/23/2022,2207,2,514,0
12/22/2022,1700,1,513,0
12/22/2022,3454,2,514,0
12/21/2022,2141,1,513,0
12/21/2022,958,2,514,0
12/20/2022,421,1,513,0
12/20/2022,1365,2,514,0
12/19/2022,1945,1,513,0
12/19/2022,3595,2,514,0
12/18/2022,2655,1,513,0
12/18/2022,1497,2,514,0
12/17/2022,744,1,513,0
12/17/2022,2124,2,514,0
12/16/2022,925,1,513,0
12/16/2022,1255,2,514,0
12/15/2022,955,1,513,0
12/15/2022,1490,2,514,0
12/14/2022,1830,1,513,0
12/14/2022,880,2,514,0
12/13/2022,2596,1,513,0
12/13/2022,2641,2,514,0
12/12/2022,1616,1,513,0
12/12/2022,1801,2,514,0
12/11/2022,255,1,513,0
12/11/2022,2171,2,514,0
12/10/2022,1452,1,513,0
12/10/2022,3570,2,514,0
12/09/2022,2402,1,513,0
12/09/2022,114,2,514,0
12/08/2022,598,1,513,0
12/08/2022,900,2,514,0
12/07/2022,2826,1,513,0
12/07/2022,388,2,514,0
12/06/2022,235,1,513,0
12/06/2022,850,2,514,0
12/05/2022,1761,1,513,0
12/05/2022,2189,2,514,0
12/04/2022,717,1,513,0
12/04/2022,645,2,514,0
12/03/2022,1312,1,513,0
12/03/2022,465,2,514,0
12/02/2022,2099,1,513,0
12/02/2022,1031,2,514,0
12/01/2022,51,1,513,0
12/01/2022,2430,2,514,0
11/30/2022,1592,1,513,0
11/30/2022,1253,2,514,0
11/29/2022,1832,1,513,0
11/29/2022,1314,2,514,0
11/28/2022,1235,1,513,0
11/28/2022,688,2,514,0
11/27/2022,150,1,513,0
11/27/2022,1182,2,514,0
11/26/2022,1348,1,513,0
11/26/2022,2063,2,514,0
11/25/2022,1783,1,513,0
11/25/2022,1135,2,514,0
11/24/2022,169,1,513,0
11/24/2022,844,2,514,0
11/23/2022,1132,1,513,0
11/23/2022,72,2,514,0
11/22/2022,3220,1,513,0
11/22/2022,3325,2,514,0
11/21/2022,2221,1,513,0
11/21/2022,1261,2,514,0
11/20/2022,53,1,513,0
11/20/2022,3198,2,514,0
11/19/2022,2398,1,513,0
11/19/2022,502,2,514,0
11/18/2022,354,1,513,0
11/18/2022,692,2,514,0
11/17/2022,1675,1,513,0
11/17/2022,717,2,514,0
11/16/2022,626,1,513,0
11/16/2022,3064,2,514,0
11/15/2022,1151,1,513,0
11/15/2022,2322,2,514,0
11/14/2022,1683,1,513,0
11/14/2022,1525,2,514,0
11/13/2022,3924,1,513,0
11/13/2022,3079,2,514,0
11/12/2022,1202,1,513,0
11/12/2022,277,2,514,0
11/11/2022,702,1,513,0
11/11/2022,3297,2,514,0
11/10/2022,3375,1,513,0
11/10/2022,3772,2,514,0
11/09/2022,226,1,513,0
11/09/2022,2506,2,514,0
11/08/2022,1534,1,513,0
11/08/2022,69,2,514,0
11/07/2022,391,1,513,0
11/07/2022,434,2,514,0
11/06/2022,707,1,513,0
11/06/2022,786,2,514,0
11/05/2022,1733,1,513,0
11/05/2022,1610,2,514,0
11/04/2022,973,1,513,0
11/04/2022,1930,2,514,0
11/03/2022,2367,1,513,0
11/03/2022,695,2,514,0
11/02/2022,1470,1,513,0
11/02/2022,1268,2,514,0
11/01/2022,3505,1,513,0
11/01/2022,1703,2,514,0
10/31/2022,3297,1,513,0
10/31/2022,3240,2,514,0
10/30/2022,2572,1,513,0
10/30/2022,0,2,514,0
10/29/2022,78,1,513,0
10/29/2022,1495,2,514,0
10/28/2022,2346,1,513,0
10/28/2022,350,2,514,0
10/27/2022,472,1,513,0
10/27/2022,2141,2,514,0
10/26/2022,255,1,513,0
10/26/2022,2591,2,514,0
10/25/2022,670,1,513,0
10/25/2022,14,2,514,0
10/24/2022,1127,1,513,0
10/24/2022,1155,2,514,0
10/23/2022,612,1,513,0
10/23/2022,97,2,514,0
10/22/2022,772,1,513,0
10/22/2022,226,2,514,0
10/21/2022,1298,1,513,0
10/21/2022,2262,2,514,0
10/20/2022,346,1,513,0
10/20/2022,787,2,514,0
10/19/2022,3458,1,513,0
10/19/2022,1544,2,514,0
10/18/2022,526,1,513,0
10/18/2022,1013,2,514,0
10/17/2022,1273,1,513,0
10/17/2022,139,2,514,0
10/16/2022,770,1,513,0
10/16/2022,626,2,514,0
10/15/2022,1078,1,513,0
10/15/2022,562,2,514,0
10/14/2022,2243,1,513,0
10/14/2022,1252,2,514,0
10/13/2022,2316,1,513,0
10/13/2022,2722,2,514,0
10/12/2022,1526,1,513,0
10/12/2022,2059,2,514,0
10/11/2022,895,1,513,0
10/11/2022,2958,2,514,0
10/10/2022,919,1,513,0
10/10/2022,469,2,514,0
10/09/2022,693,1,513,0
10/09/2022,637,2,514,0
10/08/2022,341,1,513,0
10/08/2022,1732,2,514,0
10/07/2022,1004,1,513,0
10/07/2022,501,2,514,0
10/06/2022,2522,1,513,0
10/06/2022,1565,2,514,0
10/05/2022,2533,1,513,0
10/05/2022,2503,2,514,0
10/04/2022,1318,1,513,0
10/04/2022,868,2,514,0
10/03/2022,499,1,513,0
10/03/2022,270,2,514,0
10/02/2022,49,1,513,0
